,x,t,u
0,-1.0,0.0,-1.0
1,-0.99609375,0.0,-0.9921280477461298
2,-0.9921875,0.0,-0.9841395414276779
3,-0.98828125,0.0,-0.9760380022448067
4,-0.984375,0.0,-0.9678269447456859
5,-0.98046875,0.0,-0.9595098759585919
6,-0.9765625,0.0,-0.9510902945315267
7,-0.97265625,0.0,-0.9425716898795228
8,-0.96875,0.0,-0.9339575413398252
9,-0.96484375,0.0,-0.9252513173351093
10,-0.9609375,0.0,-0.9164564745449147
11,-0.95703125,0.0,-0.9075764570854564
12,-0.953125,0.0,-0.8986146956979858
13,-0.94921875,0.0,-0.8895746069458523
14,-0.9453125,0.0,-0.8804595924204401
15,-0.94140625,0.0,-0.8712730379561232
16,-0.9375,0.0,-0.8620183128544018
17,-0.93359375,0.0,-0.8526987691173684
18,-0.9296875,0.0,-0.8433177406906496
19,-0.92578125,0.0,-0.8338785427159745
20,-0.921875,0.0,-0.8243844707935077
21,-0.91796875,0.0,-0.8148388002540888
22,-0.9140625,0.0,-0.8052447854415147
23,-0.91015625,0.0,-0.7956056590049996
24,-0.90625,0.0,-0.785924631201941
25,-0.90234375,0.0,-0.7762048892111227
26,-0.8984375,0.0,-0.7664495964564765
27,-0.89453125,0.0,-0.756661891941527
28,-0.890625,0.0,-0.7468448895946372
29,-0.88671875,0.0,-0.737001677625169
30,-0.8828125,0.0,-0.7271353178906725
31,-0.87890625,0.0,-0.7172488452752157
32,-0.875,0.0,-0.707345267078954
33,-0.87109375,0.0,-0.6974275624190501
34,-0.8671875,0.0,-0.6874986816420411
35,-0.86328125,0.0,-0.6775615457477446
36,-0.859375,0.0,-0.6676190458248088
37,-0.85546875,0.0,-0.6576740424979818
38,-0.8515625,0.0,-0.647729365387202
39,-0.84765625,0.0,-0.6377878125785827
40,-0.84375,0.0,-0.6278521501073738
41,-0.83984375,0.0,-0.6179251114529826
42,-0.8359375,0.0,-0.6080093970461203
43,-0.83203125,0.0,-0.5981076737881512
44,-0.828125,0.0,-0.5882225745827061
45,-0.82421875,0.0,-0.5783566978796313
46,-0.8203125,0.0,-0.5685126072313244
47,-0.81640625,0.0,-0.5586928308615245
48,-0.8125,0.0,-0.5488998612466022
49,-0.80859375,0.0,-0.5391361547094048
50,-0.8046875,0.0,-0.5294041310257053
51,-0.80078125,0.0,-0.5197061730432939
52,-0.796875,0.0,-0.510044626313759
53,-0.79296875,0.0,-0.5004217987369919
54,-0.7890625,0.0,-0.4908399602184458
55,-0.78515625,0.0,-0.48130134233919075
56,-0.78125,0.0,-0.47180813803877997
57,-0.77734375,0.0,-0.4623625013109589
58,-0.7734375,0.0,-0.4529665469122349
59,-0.76953125,0.0,-0.4436223500833272
60,-0.765625,0.0,-0.4343319462835099
61,-0.76171875,0.0,-0.42509733093785873
62,-0.7578125,0.0,-0.4159204591974093
63,-0.75390625,0.0,-0.40680324571223403
64,-0.75,0.0,-0.3977475644174332
65,-0.74609375,0.0,-0.38875524833204256
66,-0.7421875,0.0,-0.37982808937085155
67,-0.73828125,0.0,-0.37096783816911905
68,-0.734375,0.0,-0.3621762039201817
69,-0.73046875,0.0,-0.3534548542259326
70,-0.7265625,0.0,-0.34480541496015704
71,-0.72265625,0.0,-0.33622947014470095
72,-0.71875,0.0,-0.3277285618384459
73,-0.71484375,0.0,-0.3193041900390683
74,-0.7109375,0.0,-0.3109578125975446
75,-0.70703125,0.0,-0.30269084514537214
76,-0.703125,0.0,-0.29450466103446726
77,-0.69921875,0.0,-0.28640059128969975
78,-0.6953125,0.0,-0.2783799245740206
79,-0.69140625,0.0,-0.270443907166135
80,-0.6875,0.0,-0.2625937429506715
81,-0.68359375,0.0,-0.2548305934207943
82,-0.6796875,0.0,-0.24715557769320307
83,-0.67578125,0.0,-0.23956977253545986
84,-0.671875,0.0,-0.2320742124055828
85,-0.66796875,0.0,-0.22466988950384081
86,-0.6640625,0.0,-0.21735775383668154
87,-0.66015625,0.0,-0.21013871329272205
88,-0.65625,0.0,-0.20301363373072745
89,-0.65234375,0.0,-0.19598333907950372
90,-0.6484375,0.0,-0.1890486114496206
91,-0.64453125,0.0,-0.1822101912568881
92,-0.640625,0.0,-0.17546877735749622
93,-0.63671875,0.0,-0.16882502719473447
94,-0.6328125,0.0,-0.16227955695719842
95,-0.62890625,0.0,-0.15583294174838902
96,-0.625,0.0,-0.14948571576761327
97,-0.62109375,0.0,-0.1432383725020815
98,-0.6171875,0.0,-0.1370913649301062
99,-0.61328125,0.0,-0.13104510573529538
100,-0.609375,0.0,-0.12509996753163255
101,-0.60546875,0.0,-0.11925628309934033
102,-0.6015625,0.0,-0.11351434563141038
103,-0.59765625,0.0,-0.10787440899068934
104,-0.59375,0.0,-0.10233668797740325
105,-0.58984375,0.0,-0.09690135860700377
106,-0.5859375,0.0,-0.09156855839821199
107,-0.58203125,0.0,-0.08633838667113991
108,-0.578125,0.0,-0.08121090485536342
109,-0.57421875,0.0,-0.07618613680781583
110,-0.5703125,0.0,-0.0712640691403783
111,-0.56640625,0.0,-0.06644465155702817
112,-0.5625,0.0,-0.061727797200415546
113,-0.55859375,0.0,-0.05711338300773128
114,-0.5546875,0.0,-0.05260125007572514
115,-0.55078125,0.0,-0.048191204034736645
116,-0.546875,0.0,-0.04388301543159612
117,-0.54296875,0.0,-0.03967642012124917
118,-0.5390625,0.0,-0.035571119666959694
119,-0.53515625,0.0,-0.03156678174894545
120,-0.53125,0.0,-0.027663040581291987
121,-0.52734375,0.0,-0.02385949733699666
122,-0.5234375,0.0,-0.020155720580987913
123,-0.51953125,0.0,-0.016551246710964418
124,-0.515625,0.0,-0.013045580405897983
125,-0.51171875,0.0,-0.009638195082041223
126,-0.5078125,0.0,-0.006328533356280808
127,-0.50390625,0.0,-0.0031160075166727363
128,-0.5,0.0,0.0
129,-0.49609375,0.0,0.0030201361238155755
130,-0.4921875,0.0,0.005945076660610282
131,-0.48828125,0.0,0.008775525794353367
132,-0.484375,0.0,0.011512215583166174
133,-0.48046875,0.0,0.014155905449159456
134,-0.4765625,0.0,0.016707381662253606
135,-0.47265625,0.0,0.019167456818160233
136,-0.46875,0.0,0.021536969310694487
137,-0.46484375,0.0,0.02381678279859445
138,-0.4609375,0.0,0.026007785667021
